Subject,Course Score,Learning Score,Quiz Score,Complexity,Learning Content
CyberSecurity,70,48,52,Intermediate,Assignment
Cloud Computing,41,70,51,Intermediate,Quiz
CyberSecurity,65,43,48,Intermediate,Assignment
Network and System Administration,59,50,69,Intermediate,Assignment
CyberSecurity,43,67,49,Intermediate,Quiz
Web Development,62,61,43,Intermediate,Video
Software Engineering and Development,49,60,52,Intermediate,Quiz
Devops and Systems Integration,54,57,62,Intermediate,Quiz
CyberSecurity,43,62,54,Intermediate,Quiz
Artificial Intelligence and Machine Learning,53,44,44,Intermediate,Assignment
Software Engineering and Development,54,63,64,Intermediate,Quiz
Software Engineering and Development,70,62,50,Intermediate,Video
Network and System Administration,68,63,51,Intermediate,Video
Network and System Administration,44,51,59,Intermediate,Quiz
Software Engineering and Development,66,46,69,Intermediate,Assignment
IT Project Management,47,63,41,Intermediate,Video
Cloud Computing,42,50,70,Intermediate,Quiz
Software Engineering and Development,43,41,57,Intermediate,Assignment
CyberSecurity,51,53,47,Intermediate,Video
Database Management,70,59,62,Intermediate,Assignment
Devops and Systems Integration,70,50,61,Intermediate,Assignment
Data Science and Analytics,59,66,56,Intermediate,Video
Software Engineering and Development,60,61,70,Intermediate,Quiz
Artificial Intelligence and Machine Learning,42,50,55,Intermediate,Quiz
Web Development,62,44,57,Intermediate,Assignment
Database Management,48,55,68,Intermediate,Quiz
CyberSecurity,44,67,41,Intermediate,Video
Devops and Systems Integration,53,53,53,Intermediate,Quiz
Database Management,65,53,67,Intermediate,Assignment
Database Management,52,67,68,Intermediate,Quiz
CyberSecurity,68,64,52,Intermediate,Video
Software Engineering and Development,54,56,61,Intermediate,Quiz
Data Science and Analytics,56,44,48,Intermediate,Assignment
CyberSecurity,41,69,66,Intermediate,Quiz
Software Engineering and Development,67,51,50,Intermediate,Video
Cloud Computing,61,47,64,Intermediate,Assignment
Data Science and Analytics,51,65,49,Intermediate,Video
CyberSecurity,56,69,57,Intermediate,Quiz
Database Management,56,43,45,Intermediate,Assignment
Data Science and Analytics,57,51,58,Intermediate,Assignment
Web Development,54,50,48,Intermediate,Video
Data Science and Analytics,45,64,57,Intermediate,Quiz
Data Science and Analytics,50,56,48,Intermediate,Video
CyberSecurity,51,64,58,Intermediate,Quiz
Data Science and Analytics,56,64,55,Intermediate,Video
Network and System Administration,54,41,53,Intermediate,Assignment
IT Project Management,67,60,58,Intermediate,Video
Network and System Administration,51,41,69,Intermediate,Assignment
Network and System Administration,56,48,57,Intermediate,Assignment
IT Project Management,54,59,50,Intermediate,Video
Devops and Systems Integration,68,54,70,Intermediate,Assignment
CyberSecurity,41,43,70,Intermediate,Quiz
Software Engineering and Development,64,51,54,Intermediate,Assignment
Artificial Intelligence and Machine Learning,56,54,47,Intermediate,Video
Database Management,65,40,52,Intermediate,Assignment
Cloud Computing,52,62,61,Intermediate,Quiz
IT Project Management,60,65,55,Intermediate,Video
IT Project Management,47,40,62,Intermediate,Assignment
Devops and Systems Integration,68,47,67,Intermediate,Assignment
Database Management,45,57,55,Intermediate,Quiz
Data Science and Analytics,68,60,53,Intermediate,Video
Web Development,64,55,42,Intermediate,Video
IT Project Management,55,62,50,Intermediate,Video
IT Project Management,67,60,55,Intermediate,Video
CyberSecurity,58,58,57,Intermediate,Video
Cloud Computing,46,55,69,Intermediate,Quiz
Data Science and Analytics,44,56,70,Intermediate,Quiz
Web Development,47,57,56,Intermediate,Quiz
IT Project Management,43,53,58,Intermediate,Quiz
Database Management,56,62,63,Intermediate,Quiz
Network and System Administration,60,44,59,Intermediate,Assignment
Cloud Computing,45,43,50,Intermediate,Assignment
Database Management,60,65,41,Intermediate,Video
Software Engineering and Development,43,61,46,Intermediate,Quiz
CyberSecurity,69,63,50,Intermediate,Video
Network and System Administration,44,67,44,Intermediate,Quiz
Devops and Systems Integration,51,59,51,Intermediate,Quiz
Data Science and Analytics,50,40,55,Intermediate,Assignment
Data Science and Analytics,60,57,47,Intermediate,Video
Software Engineering and Development,52,61,63,Intermediate,Quiz
CyberSecurity,63,46,43,Intermediate,Video
IT Project Management,58,56,50,Intermediate,Video
Database Management,70,45,45,Intermediate,Assignment
Artificial Intelligence and Machine Learning,42,41,58,Intermediate,Assignment
CyberSecurity,65,62,61,Intermediate,Video
Network and System Administration,49,43,44,Intermediate,Assignment
Devops and Systems Integration,48,57,43,Intermediate,Video
Cloud Computing,45,56,51,Intermediate,Quiz
CyberSecurity,47,66,66,Intermediate,Quiz
Cloud Computing,67,50,49,Intermediate,Video
Network and System Administration,56,43,64,Intermediate,Assignment
Software Engineering and Development,63,58,51,Intermediate,Video
Artificial Intelligence and Machine Learning,59,54,48,Intermediate,Video
Web Development,46,68,62,Intermediate,Quiz
Network and System Administration,61,61,68,Intermediate,Quiz
Data Science and Analytics,44,49,51,Intermediate,Quiz
CyberSecurity,50,62,56,Intermediate,Quiz
Network and System Administration,60,61,56,Intermediate,Video
Devops and Systems Integration,54,59,43,Intermediate,Video
Network and System Administration,54,48,43,Intermediate,Video
Cloud Computing,69,57,49,Intermediate,Video
Data Science and Analytics,57,62,59,Intermediate,Quiz
Web Development,55,52,61,Intermediate,Assignment
Database Management,47,67,52,Intermediate,Quiz
Software Engineering and Development,50,70,68,Intermediate,Quiz
Cloud Computing,63,57,68,Intermediate,Assignment
Software Engineering and Development,66,58,42,Intermediate,Video
Data Science and Analytics,67,43,45,Intermediate,Assignment
Cloud Computing,57,47,46,Intermediate,Video
Cloud Computing,52,42,68,Intermediate,Assignment
Software Engineering and Development,51,70,52,Intermediate,Quiz
Software Engineering and Development,59,52,63,Intermediate,Assignment
IT Project Management,41,50,60,Intermediate,Quiz
Artificial Intelligence and Machine Learning,63,68,54,Intermediate,Video
Cloud Computing,68,44,63,Intermediate,Assignment
IT Project Management,43,63,48,Intermediate,Quiz
Artificial Intelligence and Machine Learning,60,59,42,Intermediate,Video
IT Project Management,44,46,53,Intermediate,Quiz
Web Development,70,63,41,Intermediate,Video
Devops and Systems Integration,55,49,62,Intermediate,Assignment
Devops and Systems Integration,64,62,42,Intermediate,Video
Software Engineering and Development,53,63,65,Intermediate,Quiz
Database Management,61,49,42,Intermediate,Video
Network and System Administration,51,56,46,Intermediate,Video
CyberSecurity,62,43,63,Intermediate,Assignment
CyberSecurity,64,57,52,Intermediate,Video
Artificial Intelligence and Machine Learning,69,63,64,Intermediate,Assignment
Software Engineering and Development,69,51,56,Intermediate,Assignment
Data Science and Analytics,56,63,64,Intermediate,Quiz
Web Development,45,59,56,Intermediate,Quiz
Data Science and Analytics,50,63,56,Intermediate,Quiz
Devops and Systems Integration,56,50,58,Intermediate,Assignment
Web Development,64,66,58,Intermediate,Video
Database Management,62,45,51,Intermediate,Assignment
Cloud Computing,64,64,52,Intermediate,Video
Web Development,62,57,67,Intermediate,Assignment
Network and System Administration,61,55,48,Intermediate,Video
Network and System Administration,58,46,61,Intermediate,Assignment
Software Engineering and Development,42,68,69,Intermediate,Quiz
Database Management,48,64,42,Intermediate,Video
Devops and Systems Integration,59,52,42,Intermediate,Video
Network and System Administration,48,64,70,Intermediate,Quiz
Data Science and Analytics,68,49,68,Intermediate,Assignment
CyberSecurity,51,55,48,Intermediate,Video
Data Science and Analytics,53,57,54,Intermediate,Quiz
Data Science and Analytics,67,58,64,Intermediate,Assignment
IT Project Management,64,70,58,Intermediate,Video
IT Project Management,66,42,64,Intermediate,Assignment
Web Development,50,57,59,Intermediate,Quiz
Devops and Systems Integration,65,65,46,Intermediate,Video
Database Management,70,50,41,Intermediate,Video
Software Engineering and Development,44,55,52,Intermediate,Quiz
Artificial Intelligence and Machine Learning,44,58,69,Intermediate,Quiz
Web Development,43,69,55,Intermediate,Quiz
IT Project Management,61,40,67,Intermediate,Assignment
Network and System Administration,49,67,66,Intermediate,Quiz
Devops and Systems Integration,43,54,58,Intermediate,Quiz
Artificial Intelligence and Machine Learning,67,50,50,Intermediate,Assignment
Devops and Systems Integration,66,63,58,Intermediate,Video
Cloud Computing,65,69,57,Intermediate,Video
IT Project Management,67,49,61,Intermediate,Assignment
Artificial Intelligence and Machine Learning,68,41,50,Intermediate,Assignment
IT Project Management,66,57,59,Intermediate,Assignment
Cloud Computing,53,45,69,Intermediate,Assignment
CyberSecurity,46,53,43,Intermediate,Video
Data Science and Analytics,66,47,57,Intermediate,Assignment
Database Management,46,55,56,Intermediate,Quiz
IT Project Management,45,44,46,Intermediate,Assignment
Artificial Intelligence and Machine Learning,47,43,51,Intermediate,Assignment
Database Management,41,51,58,Intermediate,Quiz
Web Development,63,56,49,Intermediate,Video
CyberSecurity,51,42,45,Intermediate,Assignment
Network and System Administration,48,67,46,Intermediate,Video
Network and System Administration,55,47,47,Intermediate,Assignment
Data Science and Analytics,47,66,42,Intermediate,Video
CyberSecurity,43,57,66,Intermediate,Quiz
Devops and Systems Integration,54,62,59,Intermediate,Quiz
Database Management,69,44,55,Intermediate,Assignment
Software Engineering and Development,67,51,67,Intermediate,Assignment
Cloud Computing,69,51,56,Intermediate,Assignment
Network and System Administration,67,53,45,Intermediate,Video
Network and System Administration,52,48,57,Intermediate,Assignment
Artificial Intelligence and Machine Learning,68,57,66,Intermediate,Assignment
CyberSecurity,65,41,70,Intermediate,Assignment
Database Management,58,63,49,Intermediate,Video
Artificial Intelligence and Machine Learning,63,65,56,Intermediate,Video
Database Management,46,50,64,Intermediate,Quiz
Artificial Intelligence and Machine Learning,62,45,58,Intermediate,Assignment
CyberSecurity,50,47,67,Intermediate,Assignment
Network and System Administration,57,50,64,Intermediate,Assignment
Software Engineering and Development,45,54,43,Intermediate,Video
Artificial Intelligence and Machine Learning,65,41,53,Intermediate,Assignment
Devops and Systems Integration,48,46,69,Intermediate,Assignment
Network and System Administration,62,53,57,Intermediate,Assignment
Software Engineering and Development,60,45,42,Intermediate,Video
Cloud Computing,59,65,70,Intermediate,Quiz
Database Management,49,47,43,Intermediate,Video
Network and System Administration,56,66,67,Intermediate,Quiz
Network and System Administration,41,62,52,Intermediate,Quiz
Database Management,49,64,66,Intermediate,Quiz
Devops and Systems Integration,58,68,54,Intermediate,Video
Devops and Systems Integration,69,60,46,Intermediate,Video
Database Management,48,62,68,Intermediate,Quiz
Software Engineering and Development,46,50,54,Intermediate,Quiz
Cloud Computing,43,46,52,Intermediate,Quiz
Data Science and Analytics,70,46,57,Intermediate,Assignment
IT Project Management,42,65,59,Intermediate,Quiz
Data Science and Analytics,42,45,57,Intermediate,Quiz
Network and System Administration,63,57,46,Intermediate,Video
Devops and Systems Integration,57,45,55,Intermediate,Assignment
Cloud Computing,54,62,53,Intermediate,Video
Network and System Administration,47,69,44,Intermediate,Video
Data Science and Analytics,42,57,62,Intermediate,Quiz
CyberSecurity,54,47,67,Intermediate,Assignment
Devops and Systems Integration,70,66,60,Intermediate,Video
Network and System Administration,69,57,43,Intermediate,Video
Database Management,61,42,65,Intermediate,Assignment
Network and System Administration,69,53,49,Intermediate,Video
Data Science and Analytics,59,57,55,Intermediate,Video
Artificial Intelligence and Machine Learning,51,58,51,Intermediate,Quiz
Database Management,55,53,61,Intermediate,Assignment
Cloud Computing,62,50,46,Intermediate,Video
Software Engineering and Development,67,55,43,Intermediate,Video
Software Engineering and Development,69,45,54,Intermediate,Assignment
Web Development,58,55,42,Intermediate,Video
Artificial Intelligence and Machine Learning,50,44,65,Intermediate,Assignment
Database Management,55,55,58,Intermediate,Quiz
CyberSecurity,57,64,65,Intermediate,Quiz
Network and System Administration,59,64,67,Intermediate,Quiz
Web Development,47,44,60,Intermediate,Assignment
Cloud Computing,53,70,66,Intermediate,Quiz
IT Project Management,55,48,67,Intermediate,Assignment
Devops and Systems Integration,44,41,65,Intermediate,Assignment
Cloud Computing,65,41,53,Intermediate,Assignment
Network and System Administration,46,55,45,Intermediate,Video
Database Management,46,59,68,Intermediate,Quiz
Data Science and Analytics,56,41,69,Intermediate,Assignment
Devops and Systems Integration,54,52,69,Intermediate,Assignment
Cloud Computing,53,52,69,Intermediate,Assignment
CyberSecurity,50,46,70,Intermediate,Assignment
Database Management,70,60,61,Intermediate,Assignment
CyberSecurity,70,61,48,Intermediate,Video
IT Project Management,65,41,51,Intermediate,Assignment
Database Management,41,40,63,Intermediate,Assignment
Software Engineering and Development,63,69,54,Intermediate,Video
Network and System Administration,49,47,70,Intermediate,Assignment
Cloud Computing,69,63,45,Intermediate,Video
Data Science and Analytics,66,52,42,Intermediate,Video
CyberSecurity,63,51,44,Intermediate,Video
Database Management,56,52,51,Intermediate,Video
Software Engineering and Development,55,51,54,Intermediate,Assignment
Network and System Administration,44,63,47,Intermediate,Quiz
CyberSecurity,45,45,62,Intermediate,Quiz
CyberSecurity,47,57,44,Intermediate,Video
IT Project Management,49,65,50,Intermediate,Quiz
Database Management,42,54,58,Intermediate,Quiz
CyberSecurity,41,68,68,Intermediate,Quiz
Cloud Computing,62,58,45,Intermediate,Video
Cloud Computing,49,53,41,Intermediate,Video
Artificial Intelligence and Machine Learning,52,50,41,Intermediate,Video
CyberSecurity,58,68,58,Intermediate,Quiz
Software Engineering and Development,66,61,48,Intermediate,Video
Web Development,62,62,66,Intermediate,Quiz
Database Management,59,62,59,Intermediate,Quiz
CyberSecurity,55,58,47,Intermediate,Video
Software Engineering and Development,55,53,45,Intermediate,Video
Data Science and Analytics,64,65,41,Intermediate,Video
Cloud Computing,55,66,53,Intermediate,Video
CyberSecurity,52,46,64,Intermediate,Assignment
Web Development,64,48,55,Intermediate,Assignment
CyberSecurity,49,49,64,Intermediate,Quiz
Devops and Systems Integration,59,52,56,Intermediate,Assignment
Cloud Computing,53,45,47,Intermediate,Assignment
Devops and Systems Integration,62,46,66,Intermediate,Assignment
Artificial Intelligence and Machine Learning,42,48,65,Intermediate,Quiz
Database Management,59,60,49,Intermediate,Video
IT Project Management,58,51,62,Intermediate,Assignment
Software Engineering and Development,58,60,55,Intermediate,Video
Network and System Administration,51,69,59,Intermediate,Quiz
CyberSecurity,42,53,67,Intermediate,Quiz
Artificial Intelligence and Machine Learning,59,67,45,Intermediate,Video
Database Management,56,47,43,Intermediate,Video
CyberSecurity,57,48,56,Intermediate,Assignment
Data Science and Analytics,47,43,58,Intermediate,Assignment
Cloud Computing,43,47,60,Intermediate,Quiz
Data Science and Analytics,61,67,41,Intermediate,Video
Devops and Systems Integration,68,55,62,Intermediate,Assignment
Data Science and Analytics,42,59,54,Intermediate,Quiz
Artificial Intelligence and Machine Learning,66,52,53,Intermediate,Assignment
IT Project Management,61,62,68,Intermediate,Quiz
Data Science and Analytics,63,63,54,Intermediate,Video
Web Development,60,55,47,Intermediate,Video
Database Management,59,45,44,Intermediate,Video
Database Management,67,68,48,Intermediate,Video
Devops and Systems Integration,54,53,50,Intermediate,Video
Devops and Systems Integration,41,64,58,Intermediate,Quiz
Devops and Systems Integration,43,68,65,Intermediate,Quiz
IT Project Management,44,48,57,Intermediate,Quiz
Artificial Intelligence and Machine Learning,44,66,61,Intermediate,Quiz
Data Science and Analytics,69,54,43,Intermediate,Video
Devops and Systems Integration,59,45,51,Intermediate,Assignment
Cloud Computing,57,55,44,Intermediate,Video
Cloud Computing,55,46,65,Intermediate,Assignment
IT Project Management,66,51,62,Intermediate,Assignment
Database Management,66,64,44,Intermediate,Video
Cloud Computing,53,68,67,Intermediate,Quiz
Network and System Administration,63,62,44,Intermediate,Video
Devops and Systems Integration,63,60,66,Intermediate,Assignment
Web Development,56,46,70,Intermediate,Assignment
Software Engineering and Development,64,67,58,Intermediate,Video
Devops and Systems Integration,62,57,63,Intermediate,Assignment
CyberSecurity,56,68,70,Intermediate,Quiz
Network and System Administration,60,53,58,Intermediate,Assignment
IT Project Management,55,56,64,Intermediate,Quiz
Software Engineering and Development,51,67,57,Intermediate,Quiz
IT Project Management,57,51,55,Intermediate,Assignment
Devops and Systems Integration,49,61,55,Intermediate,Quiz
Data Science and Analytics,60,47,68,Intermediate,Assignment
Cloud Computing,62,64,49,Intermediate,Video
IT Project Management,45,45,65,Intermediate,Quiz
Data Science and Analytics,43,50,46,Intermediate,Quiz
Network and System Administration,69,54,44,Intermediate,Video
Network and System Administration,67,62,66,Intermediate,Assignment
Database Management,54,42,61,Intermediate,Assignment
Devops and Systems Integration,65,41,43,Intermediate,Assignment
Cloud Computing,69,63,41,Intermediate,Video
Cloud Computing,67,69,52,Intermediate,Video
Network and System Administration,68,67,66,Intermediate,Video
Devops and Systems Integration,60,51,58,Intermediate,Assignment
IT Project Management,65,67,49,Intermediate,Video
Data Science and Analytics,56,58,44,Intermediate,Video
Cloud Computing,48,65,49,Intermediate,Quiz
Artificial Intelligence and Machine Learning,48,41,47,Intermediate,Assignment
Devops and Systems Integration,52,50,55,Intermediate,Assignment
Artificial Intelligence and Machine Learning,44,68,59,Intermediate,Quiz
Network and System Administration,68,61,53,Intermediate,Video
IT Project Management,46,67,46,Intermediate,Quiz
Software Engineering and Development,55,54,60,Intermediate,Assignment
Cloud Computing,44,64,56,Intermediate,Quiz
Network and System Administration,46,40,65,Intermediate,Assignment
Software Engineering and Development,56,60,64,Intermediate,Quiz
CyberSecurity,67,41,69,Intermediate,Assignment
Data Science and Analytics,66,67,50,Intermediate,Video
Database Management,66,50,51,Intermediate,Assignment
Devops and Systems Integration,41,69,62,Intermediate,Quiz
IT Project Management,47,48,46,Intermediate,Video
Software Engineering and Development,52,42,57,Intermediate,Assignment
Devops and Systems Integration,70,66,47,Intermediate,Video
Devops and Systems Integration,59,55,59,Intermediate,Assignment
Software Engineering and Development,51,48,48,Intermediate,Assignment
Network and System Administration,44,43,43,Intermediate,Assignment
Artificial Intelligence and Machine Learning,43,47,41,Intermediate,Video
Software Engineering and Development,46,55,44,Intermediate,Video
Network and System Administration,55,63,47,Intermediate,Video
Database Management,46,64,58,Intermediate,Quiz
Network and System Administration,44,59,61,Intermediate,Quiz
Artificial Intelligence and Machine Learning,67,56,46,Intermediate,Video
CyberSecurity,62,52,60,Intermediate,Assignment
Network and System Administration,44,64,48,Intermediate,Quiz
Software Engineering and Development,53,46,56,Intermediate,Assignment
IT Project Management,47,49,47,Intermediate,Quiz
IT Project Management,68,50,60,Intermediate,Assignment
IT Project Management,63,53,65,Intermediate,Assignment
CyberSecurity,56,45,50,Intermediate,Assignment
CyberSecurity,49,44,52,Intermediate,Assignment
Network and System Administration,54,54,47,Intermediate,Video
Devops and Systems Integration,60,44,61,Intermediate,Assignment
Artificial Intelligence and Machine Learning,41,48,41,Intermediate,Quiz
Devops and Systems Integration,49,53,59,Intermediate,Quiz
Data Science and Analytics,59,52,51,Intermediate,Video
IT Project Management,56,49,70,Intermediate,Assignment
CyberSecurity,60,65,62,Intermediate,Quiz
CyberSecurity,66,57,61,Intermediate,Assignment
Network and System Administration,48,40,69,Intermediate,Assignment
Software Engineering and Development,65,49,63,Intermediate,Assignment
Web Development,63,62,50,Intermediate,Video
IT Project Management,58,63,45,Intermediate,Video
Data Science and Analytics,41,41,70,Intermediate,Quiz
Data Science and Analytics,46,60,41,Intermediate,Video
Network and System Administration,69,63,43,Intermediate,Video
Artificial Intelligence and Machine Learning,56,52,50,Intermediate,Video
CyberSecurity,63,68,53,Intermediate,Video
Web Development,48,59,48,Intermediate,Quiz
Web Development,69,50,50,Intermediate,Assignment
Cloud Computing,58,58,67,Intermediate,Quiz
Web Development,64,40,42,Intermediate,Assignment
IT Project Management,41,58,66,Intermediate,Quiz
Artificial Intelligence and Machine Learning,57,61,63,Intermediate,Quiz
Software Engineering and Development,54,52,48,Intermediate,Video
CyberSecurity,45,70,65,Intermediate,Quiz
Data Science and Analytics,61,52,56,Intermediate,Assignment
Artificial Intelligence and Machine Learning,55,51,45,Intermediate,Video
Artificial Intelligence and Machine Learning,60,64,57,Intermediate,Video
Software Engineering and Development,50,43,53,Intermediate,Assignment
Network and System Administration,50,67,52,Intermediate,Quiz
Web Development,46,68,53,Intermediate,Quiz
Cloud Computing,44,49,45,Intermediate,Quiz
Cloud Computing,63,41,62,Intermediate,Assignment
Cloud Computing,46,69,47,Intermediate,Quiz
IT Project Management,58,52,59,Intermediate,Assignment
Network and System Administration,66,59,57,Intermediate,Video
Software Engineering and Development,45,60,69,Intermediate,Quiz
Data Science and Analytics,69,63,63,Intermediate,Assignment
Database Management,46,53,57,Intermediate,Quiz
Database Management,51,47,70,Intermediate,Assignment
Network and System Administration,53,61,69,Intermediate,Quiz
Artificial Intelligence and Machine Learning,66,41,52,Intermediate,Assignment
Network and System Administration,69,62,44,Intermediate,Video
IT Project Management,48,69,63,Intermediate,Quiz
Network and System Administration,55,45,50,Intermediate,Assignment
Data Science and Analytics,49,64,42,Intermediate,Video
CyberSecurity,62,40,61,Intermediate,Assignment
CyberSecurity,59,61,61,Intermediate,Quiz
Network and System Administration,62,55,47,Intermediate,Video
Data Science and Analytics,64,58,51,Intermediate,Video
IT Project Management,50,67,49,Intermediate,Video
Web Development,68,43,49,Intermediate,Assignment
Web Development,54,60,49,Intermediate,Video
Cloud Computing,59,62,61,Intermediate,Quiz
CyberSecurity,64,58,50,Intermediate,Video
Data Science and Analytics,59,42,47,Intermediate,Assignment
Artificial Intelligence and Machine Learning,55,42,66,Intermediate,Assignment
Database Management,43,59,69,Intermediate,Quiz
Cloud Computing,58,42,66,Intermediate,Assignment
Devops and Systems Integration,60,40,66,Intermediate,Assignment
Devops and Systems Integration,53,40,47,Intermediate,Assignment
Web Development,55,43,65,Intermediate,Assignment
Network and System Administration,43,60,65,Intermediate,Quiz
Database Management,41,43,42,Intermediate,Quiz
Data Science and Analytics,58,59,64,Intermediate,Quiz
IT Project Management,42,68,56,Intermediate,Quiz
Web Development,46,52,49,Intermediate,Quiz
Devops and Systems Integration,58,55,43,Intermediate,Video
Artificial Intelligence and Machine Learning,42,55,51,Intermediate,Quiz
Network and System Administration,46,51,68,Intermediate,Quiz
Data Science and Analytics,51,68,42,Intermediate,Video
Data Science and Analytics,70,68,55,Intermediate,Video
Devops and Systems Integration,57,66,70,Intermediate,Quiz
CyberSecurity,45,47,45,Intermediate,Quiz
Network and System Administration,55,70,65,Intermediate,Quiz
Cloud Computing,48,65,49,Intermediate,Quiz
Software Engineering and Development,41,61,61,Intermediate,Quiz
Network and System Administration,48,67,65,Intermediate,Quiz
IT Project Management,52,60,55,Intermediate,Quiz
CyberSecurity,45,53,64,Intermediate,Quiz
Network and System Administration,48,60,54,Intermediate,Quiz
IT Project Management,57,62,64,Intermediate,Quiz
Web Development,60,59,56,Intermediate,Video
Software Engineering and Development,46,61,60,Intermediate,Quiz
Artificial Intelligence and Machine Learning,56,43,60,Intermediate,Assignment
Devops and Systems Integration,62,61,43,Intermediate,Video
Data Science and Analytics,53,67,68,Intermediate,Quiz
Software Engineering and Development,45,43,42,Intermediate,Video
Data Science and Analytics,65,54,41,Intermediate,Video
Web Development,42,67,49,Intermediate,Quiz
Software Engineering and Development,61,63,50,Intermediate,Video
IT Project Management,43,51,52,Intermediate,Quiz
Software Engineering and Development,56,63,49,Intermediate,Video
CyberSecurity,66,44,57,Intermediate,Assignment
IT Project Management,45,42,48,Intermediate,Assignment
Devops and Systems Integration,56,59,49,Intermediate,Video
Devops and Systems Integration,61,46,43,Intermediate,Video
Network and System Administration,70,62,53,Intermediate,Video
Software Engineering and Development,43,48,53,Intermediate,Quiz
Web Development,51,66,43,Intermediate,Video
Artificial Intelligence and Machine Learning,64,53,58,Intermediate,Assignment
Software Engineering and Development,46,50,67,Intermediate,Quiz
Web Development,51,61,57,Intermediate,Quiz
Network and System Administration,56,67,52,Intermediate,Video
Network and System Administration,62,53,42,Intermediate,Video
Software Engineering and Development,45,64,68,Intermediate,Quiz
Web Development,43,56,57,Intermediate,Quiz
Artificial Intelligence and Machine Learning,66,64,63,Intermediate,Video
Devops and Systems Integration,56,44,65,Intermediate,Assignment
Database Management,45,46,56,Intermediate,Quiz
CyberSecurity,57,43,61,Intermediate,Assignment
CyberSecurity,58,52,54,Intermediate,Assignment
Software Engineering and Development,41,63,54,Intermediate,Quiz
Devops and Systems Integration,59,42,61,Intermediate,Assignment
Devops and Systems Integration,57,64,68,Intermediate,Quiz
Web Development,43,47,58,Intermediate,Quiz
Database Management,53,61,60,Intermediate,Quiz
Data Science and Analytics,62,53,68,Intermediate,Assignment
Software Engineering and Development,53,42,52,Intermediate,Assignment
Data Science and Analytics,70,68,70,Intermediate,Assignment
Software Engineering and Development,54,44,41,Intermediate,Video
Cloud Computing,68,61,47,Intermediate,Video
Network and System Administration,46,48,69,Intermediate,Quiz
Web Development,63,62,53,Intermediate,Video
Artificial Intelligence and Machine Learning,68,58,43,Intermediate,Video
Data Science and Analytics,63,69,46,Intermediate,Video
Software Engineering and Development,52,57,68,Intermediate,Quiz
Software Engineering and Development,61,57,69,Intermediate,Assignment
Data Science and Analytics,51,55,63,Intermediate,Quiz
Database Management,50,50,47,Intermediate,Video
Cloud Computing,60,41,55,Intermediate,Assignment
CyberSecurity,63,63,68,Intermediate,Quiz
CyberSecurity,63,59,50,Intermediate,Video
Network and System Administration,42,52,58,Intermediate,Quiz
Devops and Systems Integration,62,65,55,Intermediate,Video
Artificial Intelligence and Machine Learning,68,60,41,Intermediate,Video
Database Management,52,70,48,Intermediate,Video
Artificial Intelligence and Machine Learning,58,54,47,Intermediate,Video
Data Science and Analytics,59,65,53,Intermediate,Video
Software Engineering and Development,49,56,68,Intermediate,Quiz
Software Engineering and Development,43,82,70,Beginner,Quiz
CyberSecurity,50,99,42,Beginner,Video
Cloud Computing,50,70,45,Intermediate,Video
Database Management,68,70,60,Intermediate,Video
IT Project Management,59,74,61,Beginner,Quiz
Software Engineering and Development,41,90,48,Beginner,Quiz
Web Development,60,91,68,Beginner,Quiz
Network and System Administration,65,78,51,Beginner,Video
Data Science and Analytics,44,88,64,Beginner,Quiz
Cloud Computing,67,74,63,Beginner,Video
Software Engineering and Development,49,83,44,Beginner,Video
Devops and Systems Integration,69,84,67,Beginner,Video
CyberSecurity,44,91,46,Beginner,Quiz
Devops and Systems Integration,52,84,63,Beginner,Quiz
Database Management,68,77,42,Beginner,Video
Web Development,54,72,68,Beginner,Quiz
Devops and Systems Integration,55,93,52,Beginner,Video
IT Project Management,60,90,44,Beginner,Video
Cloud Computing,50,92,54,Beginner,Quiz
Database Management,65,76,54,Beginner,Video
Artificial Intelligence and Machine Learning,51,95,48,Beginner,Video
Devops and Systems Integration,68,74,64,Beginner,Video
Data Science and Analytics,52,85,70,Beginner,Quiz
Cloud Computing,42,78,62,Beginner,Quiz
IT Project Management,57,78,45,Beginner,Video
Devops and Systems Integration,60,90,60,Beginner,Quiz
IT Project Management,65,84,68,Beginner,Quiz
Artificial Intelligence and Machine Learning,61,71,69,Beginner,Quiz
Cloud Computing,45,89,42,Beginner,Video
CyberSecurity,44,84,49,Beginner,Quiz
IT Project Management,43,98,42,Beginner,Video
Data Science and Analytics,46,80,46,Beginner,Quiz
Database Management,53,82,60,Beginner,Quiz
Data Science and Analytics,50,70,60,Intermediate,Quiz
Web Development,70,99,46,Beginner,Video
Data Science and Analytics,51,89,42,Beginner,Video
Software Engineering and Development,69,95,50,Beginner,Video
Cloud Computing,70,86,52,Beginner,Video
Data Science and Analytics,70,100,51,Beginner,Video
Database Management,59,100,60,Beginner,Quiz
Web Development,44,83,54,Beginner,Quiz
Cloud Computing,63,79,44,Beginner,Video
Web Development,54,75,43,Beginner,Video
Cloud Computing,65,84,64,Beginner,Video
Devops and Systems Integration,63,85,53,Beginner,Video
IT Project Management,55,89,50,Beginner,Video
Network and System Administration,51,82,64,Beginner,Quiz
Network and System Administration,41,98,64,Beginner,Quiz
Devops and Systems Integration,69,80,41,Beginner,Video
Network and System Administration,69,73,58,Beginner,Video
Software Engineering and Development,43,77,41,Beginner,Video
Database Management,67,76,52,Beginner,Video
